DATE_TIME,UNIQUE_ID
2012-11-05,42062
2012-11-06,43915
2012-11-07,40203
2012-11-08,38459
2012-11-09,33006
2012-11-10,18667
2012-11-11,17111
2012-11-12,34216
2012-11-13,34962
2012-11-14,32420
2012-11-15,31570
2012-11-16,28081
2012-11-17,14588
2012-11-18,12510
2012-11-19,34418
2012-11-20,29480
2012-11-21,27260
2012-11-22,11521
2012-11-23,22168
2012-11-24,13459
2012-11-25,12382
2012-11-26,33741
2012-11-27,30786
2012-11-28,29830
2012-11-29,28039
2012-11-30,25086
2012-12-01,12017
2012-12-02,10692
2012-12-03,29658
2012-12-04,26766
2012-12-05,27814
2012-12-06,28577
2012-12-07,24713
2012-12-08,12852
2012-12-09,10101
2012-12-10,29094
2012-12-11,26999
2012-12-12,27315
2012-12-13,26392
2012-12-14,23681
2012-12-15,12865
2012-12-16,10636
2012-12-17,28516
2012-12-18,26023
2012-12-19,25342
2012-12-20,24404
2012-12-21,24643
2012-12-22,14232
2012-12-23,11259
2012-12-24,17902
2012-12-25,7979
2012-12-26,28080
2012-12-27,28745
2012-12-28,26536
2012-12-29,13960
2012-12-30,13424
2012-12-31,21329
2013-01-01,10933
2013-01-02,28957
2013-01-03,27470
2013-01-04,25315
2013-01-05,13404
2013-01-06,10415
2013-01-07,29968
2013-01-08,27302
2013-01-09,26129
2013-01-10,25345
2013-01-11,25107
2013-01-12,12786
2013-01-13,9852
2013-01-14,29049
2013-01-15,26598
2013-01-16,25989
2013-01-17,26165
2013-01-18,25425
2013-01-19,13984
2013-01-20,14484
2013-01-21,18663
2013-01-22,32721
2013-01-23,31260
2013-01-24,30060
2013-01-25,27568
2013-01-26,15491
2013-01-27,13007
2013-01-28,31564
2013-01-29,28967
2013-01-30,26626
2013-01-31,28323
2013-02-01,27882
2013-02-02,13538
2013-02-03,10970
2013-02-04,28531
2013-02-05,26147
2013-02-06,25898
2013-02-07,26981
2013-02-08,28444
2013-02-09,16927
2013-02-10,14816
2013-02-11,30593
2013-02-12,27776
2013-02-13,25581
2013-02-14,23858
2013-02-15,26113
2013-02-16,13917
2013-02-17,13754
2013-02-18,21445
2013-02-19,30070
2013-02-20,29070
2013-02-21,28148
2013-02-22,25191
2013-02-23,11534
2013-02-24,9980
2013-02-25,30251
2013-02-26,27247
2013-02-27,29074
2013-02-28,27748
2013-03-01,24721
2013-03-02,12729
2013-03-03,11030
2013-03-04,29318
2013-03-05,27671
2013-03-06,29760
2013-03-07,26766
2013-03-08,25803
2013-03-09,11954
